"age","soph","junior","senior","senior5","male","campus","business","engineer","colGPA","hsGPA","ACT","job19","job20","drive","bike","walk","voluntr","PC","greek","car","siblings","bgfriend","clubs","skipped","alcohol","gradMI","fathcoll","mothcoll"
21,0,0,1,0,0,0,1,0,3,3,21,0,1,1,0,0,0,0,0,1,1,0,0,2,1,1,0,0
21,0,0,1,0,0,0,1,0,3.40000009536743,3.20000004768372,24,0,1,1,0,0,0,0,0,1,0,1,1,0,1,1,1,1
20,0,1,0,0,0,0,1,0,3,3.59999990463257,26,1,0,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1
19,1,0,0,0,1,1,1,0,3.5,3.5,27,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
20,0,1,0,0,0,0,1,0,3.59999990463257,3.90000009536743,28,0,1,0,1,0,0,0,0,1,1,1,0,0,1.5,1,1,0
20,0,0,1,0,1,1,1,0,3,3.40000009536743,25,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0
22,0,0,0,1,0,0,1,0,2.70000004768372,3.5,25,0,0,0,1,0,0,0,1,1,1,0,1,0,2,1,0,1
22,0,0,0,1,0,0,0,0,2.70000004768372,3,22,1,0,1,0,0,0,1,0,0,1,1,0,3,3,1,1,1
22,0,0,0,1,0,0,0,0,2.70000004768372,3,21,1,0,1,0,0,0,0,0,1,1,1,1,2,2.5,1,1,1
19,1,0,0,0,0,0,1,0,3.79999995231628,4,27,1,0,0,0,1,0,1,0,0,1,0,1,0.5,0.75,1,0,1
21,0,0,1,0,1,0,1,0,2.79999995231628,3,19,1,0,0,0,1,0,0,0,1,1,1,0,2,1,1,0,0
22,0,0,0,1,0,1,1,0,2.90000009536743,3.09999990463257,22,0,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1
21,0,0,1,0,0,1,1,0,3,3.5,23,1,0,0,0,1,0,1,0,1,1,1,1,0,1,1,0,1
20,0,1,0,0,1,1,1,0,2.90000009536743,3.79999995231628,29,0,0,0,0,1,0,0,0,0,1,0,0,3,2.5,0,1,1
20,0,1,0,0,1,0,1,0,3.29999995231628,3.70000004768372,25,0,0,1,0,0,0,1,1,0,1,0,0,1,4,1,1,1
22,0,0,1,0,1,0,1,0,2.59999990463257,3,21,0,0,1,0,0,0,0,0,1,1,0,1,3,3.5,1,1,0
19,1,0,0,0,1,0,0,1,2.5,3.5,29,0,1,0,0,1,0,1,0,1,1,0,0,4,3,1,1,0
22,0,0,1,0,1,0,1,0,2.5,3,23,0,0,1,0,0,0,0,0,1,1,0,1,5,5,0,1,0
20,0,1,0,0,1,0,1,0,2.40000009536743,3,21,0,0,1,0,0,0,0,0,1,1,0,0,2,4,0,1,0
21,0,0,1,0,1,0,1,0,3.59999990463257,3.5,29,0,0,0,1,0,0,1,0,1,1,1,1,1,5,1,1,1
20,0,1,0,0,0,0,1,0,2.59999990463257,3.5,25,1,0,1,0,0,0,0,1,1,1,1,1,3,2,1,1,1
22,0,0,1,0,1,0,0,1,2.70000004768372,3,23,1,0,0,0,1,0,0,0,1,1,0,1,1,1,1,0,1
20,0,1,0,0,0,0,1,0,2.90000009536743,3.59999990463257,27,0,0,0,1,0,1,1,0,1,1,1,1,1,1,0,1,0
21,0,0,1,0,0,1,0,0,3,4,25,1,0,0,1,0,1,1,1,1,1,1,1,0,0,1,0,0
20,0,1,0,0,1,0,1,0,3.29999995231628,3.59999990463257,33,0,0,0,1,0,1,0,1,0,1,1,0,2,5,1,1,0
20,0,1,0,0,0,0,1,0,3.09999990463257,3.29999995231628,24,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0
20,0,1,0,0,0,0,1,0,3,3.59999990463257,27,1,0,0,1,0,0,1,1,0,1,1,0,2,1,1,0,0
20,0,1,0,0,0,0,0,0,3.20000004768372,3.09999990463257,20,0,0,1,0,0,0,1,1,1,1,0,1,1,2,1,0,0
20,0,1,0,0,0,0,1,0,3,3.40000009536743,21,0,0,0,1,0,0,1,0,1,0,0,0,0,2,1,1,1
20,0,1,0,0,0,0,1,0,3.40000009536743,3.70000004768372,24,0,0,0,1,0,0,0,1,0,1,1,0,0.5,2,1,1,1
21,0,1,0,0,1,0,1,0,2.90000009536743,3.70000004768372,20,0,0,0,1,0,0,0,0,1,1,0,0,1,2,1,0,0
21,0,0,1,0,0,0,1,0,3.5,3.29999995231628,23,0,0,1,0,0,0,1,1,1,1,1,0,1,0,1,1,1
22,0,0,1,0,1,0,1,0,3.70000004768372,3.29999995231628,22,0,0,0,1,0,0,1,0,1,1,1,1,0,1,1,1,0
20,0,0,1,0,0,0,1,0,3.5,3.5,24,1,0,0,0,1,0,1,0,1,1,0,1,0,1,1,1,1
21,0,0,1,0,1,0,1,0,2.79999995231628,3.20000004768372,28,0,1,0,1,0,0,0,0,1,1,1,1,1,3,1,1,1
21,0,0,1,0,0,1,1,0,2.5,3.29999995231628,25,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1
21,0,0,1,0,0,0,1,0,3.09999990463257,3.40000009536743,23,0,0,1,0,0,0,1,1,1,1,1,0,0.5,1,1,1,1
20,0,1,0,0,1,0,1,0,3.5,3.5,24,1,0,0,1,0,0,0,1,1,1,0,1,1,3,1,1,0
20,0,1,0,0,0,0,1,0,3.40000009536743,3.40000009536743,26,1,0,0,0,1,0,1,0,0,1,1,0,0.5,0,1,1,1
21,0,0,1,0,0,0,1,0,3.5,3.70000004768372,23,1,0,0,1,0,0,1,1,0,1,0,1,0,2,1,0,1
21,0,0,1,0,1,0,1,0,2.59999990463257,2.5,26,0,1,0,0,1,0,1,1,1,1,1,0,1,1,0,0,0
21,0,0,1,0,1,0,1,0,2.79999995231628,3.70000004768372,23,0,1,0,0,1,1,1,1,0,1,0,1,0,2,1,1,1
21,0,0,1,0,0,0,1,0,2.59999990463257,3,23,0,0,0,0,1,0,0,0,1,1,0,0,2,3,1,0,0
20,0,1,0,0,1,0,1,0,3.5,3,19,0,0,0,0,1,0,1,1,1,1,0,1,1,3,1,0,1
22,0,0,0,1,0,0,1,0,4,4,26,1,0,0,0,1,0,1,0,1,1,1,1,0,0.5,1,1,1
20,0,1,0,0,0,0,1,0,3.79999995231628,3.79999995231628,26,0,0,0,0,1,0,1,0,1,0,1,1,1,3,1,1,1
19,0,1,0,0,1,0,1,0,2.79999995231628,3,21,0,0,0,0,1,0,1,1,1,1,0,0,4,2,1,1,1
21,0,0,1,0,0,0,1,0,3.5,3.70000004768372,24,1,0,0,0,1,1,0,1,1,1,1,1,1,2,1,0,0
21,0,0,1,0,0,0,1,0,3,3.40000009536743,24,1,0,0,0,1,0,0,1,1,0,0,0,2,1,1,1,1
21,0,0,1,0,1,0,1,0,2.59999990463257,2.40000009536743,24,1,0,0,1,0,0,0,0,1,1,0,0,1,2,1,0,0
21,0,1,0,0,0,0,1,0,3,3.79999995231628,21,1,0,0,1,0,0,0,0,1,1,1,0,1,2,1,0,0
22,0,0,0,1,0,0,0,0,3.70000004768372,4,25,1,0,0,1,0,0,0,1,1,1,0,1,1,2,1,0,0
19,0,1,0,0,0,0,1,0,3,3.5,21,1,0,0,0,1,1,0,0,1,1,0,1,0,2,1,1,1
20,0,1,0,0,1,0,1,0,2.90000009536743,3.40000009536743,27,1,0,0,0,1,0,1,0,1,1,1,1,1,3,1,1,1
20,0,0,1,0,1,1,0,1,2.59999990463257,3.59999990463257,19,1,0,0,1,0,1,1,0,1,1,0,1,1,0,1,1,0
22,0,0,0,1,1,0,1,0,3,3.20000004768372,27,0,0,1,0,0,0,0,0,1,1,0,0,2,5,1,1,1
21,0,0,1,0,1,0,1,0,3.29999995231628,3.79999995231628,28,1,0,0,1,0,0,0,0,0,1,0,1,0.5,1,1,0,1
22,0,1,0,0,1,0,1,0,2.70000004768372,3.29999995231628,24,0,0,0,1,0,0,0,1,1,1,1,1,2,3,1,1,0
21,0,0,1,0,1,0,0,0,3,3.40000009536743,27,1,0,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1
21,0,1,0,0,0,0,1,0,3.20000004768372,3,24,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1
20,0,1,0,0,1,0,1,0,2.70000004768372,3.59999990463257,27,0,0,0,0,1,0,0,0,0,1,0,1,1,3,1,0,1
21,0,0,1,0,0,1,1,0,3.59999990463257,3.90000009536743,26,1,0,0,0,1,0,1,0,0,1,0,0,1,2,1,1,0
21,0,0,1,0,0,0,1,0,2.40000009536743,3,19,0,0,1,0,0,0,0,1,1,1,0,1,2,3,1,0,1
21,0,0,1,0,0,0,1,0,2.90000009536743,3,24,0,0,0,1,0,0,0,0,1,1,1,0,1,2,1,0,0
21,0,0,1,0,0,1,0,0,3.29999995231628,3.29999995231628,26,1,0,0,1,0,0,1,0,1,1,0,1,1,1,1,0,0
20,0,1,0,0,1,0,1,0,3.5,3.29999995231628,28,0,0,0,0,1,1,1,0,1,1,0,1,0.5,1.5,1,1,1
21,0,0,1,0,1,0,0,0,3,3.20000004768372,22,0,0,0,0,1,0,0,0,1,1,0,1,2,3,1,1,1
21,0,0,1,0,1,0,1,0,3,3.40000009536743,27,0,1,0,1,0,1,0,1,1,1,0,1,0,2,1,1,1
21,0,0,1,0,0,0,0,1,2.79999995231628,3.70000004768372,26,1,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,1
21,0,0,1,0,1,1,0,0,2.90000009536743,3.40000009536743,26,0,0,0,1,0,0,1,0,1,1,0,0,0,2,1,1,1
22,0,0,1,0,1,0,0,1,3.79999995231628,3.90000009536743,30,0,1,0,1,0,1,1,1,1,1,1,1,2,7,1,1,1
20,0,1,0,0,0,0,1,0,2.5,3.59999990463257,24,0,1,0,0,1,0,0,1,1,1,0,0,2,1,1,0,0
21,0,1,0,0,1,0,1,0,3,4,26,0,0,0,1,0,0,0,1,1,1,0,1,1,4,1,0,0
20,0,1,0,0,0,0,1,0,3.20000004768372,3.59999990463257,21,0,1,0,1,0,1,0,0,0,1,0,1,1,2,1,1,1
21,0,0,1,0,1,1,1,0,2.20000004768372,3,24,1,0,1,0,0,1,1,0,1,0,0,0,0,1,0,1,1
30,0,0,1,0,1,0,0,0,3.40000009536743,2.79999995231628,24,0,1,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0
22,0,1,0,0,1,1,1,0,2.90000009536743,3.20000004768372,23,0,0,0,0,1,0,0,0,1,1,0,0,0,3,1,1,0
22,0,0,1,0,1,0,1,0,3.70000004768372,2.90000009536743,26,0,0,0,1,0,0,1,1,1,1,0,1,1,5,1,1,0
20,0,1,0,0,1,1,1,0,2.90000009536743,2.90000009536743,24,1,0,0,1,0,1,0,1,1,1,1,1,1,0.5,0,1,1
23,0,0,0,1,1,1,0,0,2.79999995231628,3.59999990463257,24,1,0,0,0,1,0,0,0,0,1,1,1,0.5,1,0,1,1
22,0,0,0,1,1,0,0,0,3.20000004768372,3.40000009536743,27,0,0,0,0,1,0,0,0,0,1,0,1,1,2,1,1,0
21,0,0,1,0,0,0,1,0,3.40000009536743,3.59999990463257,23,0,0,1,0,0,0,0,1,1,1,1,1,0.5,2,0,1,1
22,0,0,0,1,0,0,0,0,3,3.20000004768372,31,1,0,1,0,0,1,1,1,1,0,1,1,2,1,1,0,1
22,0,0,1,0,0,0,1,0,2.5,3.20000004768372,24,1,0,0,0,1,0,0,0,0,1,1,1,2,1,1,0,1
21,0,0,1,0,0,0,1,0,3.5,3.20000004768372,16,0,0,1,0,0,0,1,1,1,0,0,0,1,3,1,0,1
21,0,0,1,0,1,0,1,0,3.09999990463257,3.70000004768372,27,0,0,0,1,0,1,0,1,1,1,0,1,1,4,0,1,1
21,0,0,1,0,1,0,1,0,2.79999995231628,2.90000009536743,22,1,0,0,1,0,0,0,0,1,1,1,0,0,7,1,1,1
21,0,0,1,0,0,0,1,0,2.90000009536743,3.29999995231628,23,0,1,0,0,1,0,0,0,1,1,0,1,1,2,1,0,0
21,0,0,1,0,1,1,1,0,2.90000009536743,3.09999990463257,24,0,0,0,0,1,0,0,0,1,1,0,1,2,3,1,1,0
19,0,1,0,0,0,0,1,0,3.40000009536743,3.5,24,0,0,0,1,0,1,0,0,1,1,1,1,0,1,1,0,0
20,0,1,0,0,1,1,1,0,3.40000009536743,3.5,23,0,1,0,0,1,0,1,0,1,1,1,1,0,1.5,1,1,1
22,0,0,1,0,1,0,1,0,3.59999990463257,3.70000004768372,23,0,1,1,0,0,0,0,0,1,1,1,0,3,3,1,0,0
26,0,0,1,0,0,0,1,0,3.20000004768372,3,23,0,0,1,0,0,1,1,0,1,1,1,0,0.25,0.5,1,1,0
20,0,1,0,0,0,0,0,0,3.20000004768372,3.79999995231628,25,0,0,1,0,0,0,1,0,1,1,1,1,1,2,0,1,1
21,0,0,1,0,0,0,1,0,2.79999995231628,3.29999995231628,21,0,0,1,0,0,0,1,0,1,1,1,1,0,0.5,0,1,1
20,0,1,0,0,0,0,0,0,3.09999990463257,3.59999990463257,22,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0
20,0,1,0,0,1,1,1,0,2.79999995231628,3.20000004768372,24,1,0,0,0,1,1,1,1,1,1,0,1,1,2,1,0,0
21,0,0,1,0,1,0,1,0,3.40000009536743,3.59999990463257,27,0,0,0,0,1,0,1,0,1,1,1,1,3,3,1,1,0
21,0,0,1,0,1,0,0,0,2.70000004768372,3.5,29,0,1,0,1,0,0,0,1,1,1,0,0,0,3,1,1,1
20,0,1,0,0,0,0,1,0,3,3.70000004768372,24,1,0,0,1,0,0,1,0,1,1,0,0,0,2,1,0,0
21,0,0,1,0,1,0,1,0,2.5,2.70000004768372,25,0,0,0,1,0,0,1,0,1,1,0,0,0.5,3,1,0,1
25,0,0,1,0,1,0,0,0,2.5,3.09999990463257,23,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,0
21,0,0,1,0,0,0,1,0,2.70000004768372,3.40000009536743,22,0,0,0,1,0,1,0,0,1,1,1,1,1,2,1,1,0
20,0,1,0,0,1,0,1,0,3.59999990463257,3.29999995231628,24,0,0,0,0,1,0,1,0,0,1,0,1,0,3,1,1,1
20,0,1,0,0,0,0,1,0,2.90000009536743,3.40000009536743,23,1,0,0,0,1,0,1,0,1,1,0,1,1,0.5,1,1,1
21,0,0,1,0,0,0,1,0,2.79999995231628,3.5,26,0,0,0,0,1,1,1,1,1,1,1,0,1,2,1,1,1
22,0,0,1,0,1,0,0,0,3.90000009536743,3.90000009536743,26,1,0,0,1,0,0,1,0,1,1,0,0,0,0.5,1,0,0
20,0,1,0,0,1,0,1,0,2.79999995231628,3.5,22,0,0,0,1,0,0,0,0,1,1,1,1,2,2,1,0,0
21,0,0,1,0,0,0,1,0,3.90000009536743,4,26,1,0,0,0,1,1,1,0,1,1,0,1,0,2,1,1,1
21,0,1,0,0,1,0,1,0,3.20000004768372,2.90000009536743,28,1,0,0,1,0,1,0,1,1,1,1,1,1,2.5,1,1,0
22,0,0,1,0,1,0,1,0,3.29999995231628,3.29999995231628,24,0,0,0,1,0,0,0,1,1,1,1,0,2,4,0,1,1
