"e401k","inc","marr","male","age","fsize","nettfa","p401k","pira","incsq","agesq"
0,13.1700000762939,0,0,40,1,4.57499980926514,0,1,173.44889831543,1600
1,61.2299995422363,0,1,35,1,154,1,0,3749.11279296875,1225
0,12.8579998016357,1,0,44,2,0,0,0,165.328155517578,1936
0,98.879997253418,1,1,44,2,21.7999992370605,0,0,9777.25390625,1936
0,22.6140003204346,0,0,53,1,18.4500007629395,0,0,511.393005371094,2809
0,15,1,0,60,3,0,0,0,225,3600
0,37.1549987792969,1,0,49,5,3.48300004005432,0,1,1380.49389648438,2401
0,31.8959999084473,1,0,38,5,-2.09999990463257,0,0,1017.35479736328,1444
0,47.2949981689453,1,0,52,2,5.28999996185303,0,1,2236.81689453125,2704
1,29.1000003814697,0,1,45,1,29.6000003814697,0,1,846.809997558594,2025
0,23.4570007324219,1,0,61,3,0,0,0,550.230895996094,3721
0,31.7849998474121,1,0,40,6,18.1490001678467,0,0,1010.28619384766,1600
0,34.9410018920898,1,0,48,3,0.694999992847443,0,0,1220.87365722656,2304
0,24.431999206543,1,0,60,2,0.200000002980232,0,0,596.922607421875,3600
0,25.1310005187988,1,0,43,5,-4.25,0,0,631.567199707031,1849
0,19.0739994049072,0,1,43,1,0,0,0,363.817443847656,1849
1,38.7719993591309,1,0,47,2,4.15000009536743,1,0,1503.26794433594,2209
1,12.4799995422363,1,0,27,2,-10,0,0,155.750381469727,729
1,45.3899993896484,1,0,57,2,122.5,0,1,2060.251953125,3249
0,39.8610000610352,1,0,35,2,1.60000002384186,0,1,1588.89929199219,1225
1,102.599998474121,1,0,53,5,40.9990005493164,1,1,10526.759765625,2809
0,39.5789985656738,1,0,36,4,12.1750001907349,0,0,1566.4970703125,1296
0,40.1940002441406,1,0,40,3,8.30000019073486,0,1,1615.5576171875,1600
0,25.253999710083,0,1,31,1,9.6870002746582,0,1,637.764526367188,961
0,10.8000001907349,0,0,48,2,0.5,0,0,116.640007019043,2304
0,27,0,1,42,1,0.129999995231628,0,0,729,1764
0,17.8560009002686,1,0,42,5,-15.4949998855591,0,0,318.836761474609,1764
1,38.939998626709,1,0,35,2,0.200000002980232,1,0,1516.32348632812,1225
0,12.2399997711182,0,1,32,2,-2.5,0,1,149.817596435547,1024
0,18,0,0,46,2,0,0,1,324,2116
1,21.4559993743896,0,0,25,1,-21.0200004577637,1,0,460.359924316406,625
0,14.0249996185303,1,0,39,5,1.39999997615814,0,0,196.700607299805,1521
0,15.1859998703003,1,1,36,4,-5.19199991226196,0,1,230.614593505859,1296
1,41.4150009155273,1,0,34,5,5.80000019073486,1,1,1715.20227050781,1156
0,12.9659996032715,0,0,52,2,-4.25,0,0,168.117141723633,2704
0,58.7999992370605,1,0,41,2,63.7000007629395,0,1,3457.43994140625,1681
1,63.8489990234375,1,0,44,5,5.89900016784668,1,0,4076.69458007812,1936
1,47.0999984741211,0,1,61,2,59.7999992370605,1,0,2218.40991210938,3721
0,36.0719985961914,1,0,63,3,72.2249984741211,0,1,1301.18908691406,3969
1,107.639999389648,1,0,51,2,69,1,1,11586.369140625,2601
1,58.9199981689453,1,0,49,4,19.6790008544922,0,0,3471.56616210938,2401
1,48.6150016784668,1,0,36,4,-2.70000004768372,0,0,2363.41845703125,1296
0,29.2049999237061,1,0,34,6,0.26800000667572,0,0,852.932006835938,1156
