attend,termGPA,priGPA,ACT,final,atndrte,hwrte,frosh,soph,missed,stndfnl
27,3.19000005722046,2.64000010490418,23,28,84.375,100,0,1,5,0.472689062356949
22,2.73000001907349,3.51999998092651,25,26,68.75,87.5,0,0,10,0.0525210089981556
30,3,2.46000003814697,24,30,93.75,87.5,0,0,2,0.892857134342194
31,2.03999996185303,2.60999989509583,20,27,96.875,100,0,1,1,0.262605041265488
32,3.6800000667572,3.3199999332428,23,34,100,100,0,1,0,1.73319327831268
29,3.23000001907349,2.9300000667572,26,25,90.625,100,0,1,3,-0.157563030719757
30,1.53999996185303,1.94000005722046,21,10,93.75,75,1,0,2,-3.30882358551025
26,2,2.11999988555908,22,34,81.25,100,0,1,6,1.73319327831268
24,2.25,2.05999994277954,24,26,75,100,1,0,8,0.0525210089981556
29,3,2.73000001907349,21,26,90.625,100,0,1,3,0.0525210089981556
30,3.21000003814697,2.28999996185303,16,27,93.75,100,0,0,2,0.262605041265488
19,2.04999995231628,2.28999996185303,24,22,59.375,50,1,0,13,-0.787815153598785
19,2.13000011444092,2.64000010490418,24,27,59.375,75,0,0,13,0.262605041265488
29,3.57999992370605,3.39000010490418,27,33,90.625,100,0,1,3,1.52310919761658
29,2.5,2.75999999046326,25,29,90.625,62.5,0,1,3,0.682773113250732
30,2.09999990463257,2.32999992370605,20,23,93.75,100,1,0,2,-0.577731072902679
20,1.26999998092651,1.98000001907349,22,22,62.5,75,0,1,12,-0.787815153598785
32,2.76999998092651,2.28999996185303,25,21,100,100,0,1,0,-0.997899174690247
31,3.15000009536743,3.01999998092651,18,25,96.875,100,1,0,1,-0.157563030719757
29,2.38000011444092,2.32999992370605,22,22,90.625,100,0,1,3,-0.787815153598785
27,1.76999998092651,2.53999996185303,21,24,84.375,75,1,0,5,-0.367647051811218
25,2.32999992370605,2.39000010490418,23,27,78.125,100,0,1,7,0.262605041265488
31,2.32999992370605,2.4300000667572,21,19,96.875,100,0,1,1,-1.41806721687317
22,3.88000011444092,3.88000011444092,28,33,68.75,75,0,1,10,1.52310919761658
27,3.28999996185303,2.57999992370605,26,33,84.375,87.5,0,0,5,1.52310919761658
29,3.79999995231628,3.35999989509583,29,31,90.625,100,0,1,3,1.10294115543365
32,3.5,3.01999998092651,28,32,100,100,0,0,0,1.31302523612976
25,2.14000010490417,2.11999988555908,16,22,78.125,100,0,1,7,-0.787815153598785
30,2.88000011444092,2.36999988555908,23,30,93.75,75,1,0,2,0.892857134342194
25,3.26999998092651,2.9300000667572,22,27,78.125,100,0,1,7,0.262605041265488
27,3.28999996185303,2.01999998092651,28,30,84.375,87.5,1,0,5,0.892857134342194
27,2.55999994277954,2.77999997138977,21,26,84.375,100,0,0,5,0.0525210089981556
23,3.25,2.84999990463257,29,25,71.875,62.5,0,0,9,-0.157563030719757
32,2.71000003814697,2.27999997138977,22,28,100,100,0,1,0,0.472689062356949
31,2.85999989509583,3.46000003814697,16,27,96.875,100,0,1,1,0.262605041265488
25,2.5,2.63000011444092,25,23,78.125,100,0,1,7,-0.577731072902679
18,2.15000009536743,2.19000005722046,22,32,56.25,62.5,0,1,14,1.31302523612976
32,3.5,3.5699999332428,21,32,100,87.5,0,1,0,1.31302523612976
31,2.16000008583069,1.98000001907349,18,26,96.875,100,1,0,1,0.0525210089981556
24,2.40000009536743,3.04999995231628,26,19,75,25,0,1,8,-1.41806721687317
31,3.53999996185303,3.45000004768372,25,31,96.875,100,0,1,1,1.10294115543365
31,3.65000009536743,2.63000011444092,23,31,96.875,100,0,1,1,1.10294115543365
32,2.5,2.61999988555908,24,19,100,100,0,0,0,-1.41806721687317
25,2.11999988555908,2.13000011444092,18,24,78.125,87.5,0,1,7,-0.367647051811218
31,2.5,2.42000007629395,18,26,96.875,100,0,1,1,0.0525210089981556
32,3.80999994277954,3.4300000667572,29,34,100,100,0,1,0,1.73319327831268
30,3.09999990463257,2.34999990463257,21,19,93.75,50,1,0,2,-1.41806721687317
30,3.14000010490418,3.60999989509583,26,24,93.75,100,0,1,2,-0.367647051811218
30,3,2.85999989509583,24,29,93.75,87.5,0,1,2,0.682773113250732
10,1.21000003814697,2.04999995231628,30,29,31.25,,1,0,22,0.682773113250732
19,2.1800000667572,2.95000004768372,29,23,59.375,87.5,0,1,13,-0.577731072902679
30,2.80999994277954,2.41000008583069,19,20,93.75,87.5,0,1,2,-1.20798313617706
17,2.09999990463257,2.3199999332428,23,27,53.125,100,0,1,15,0.262605041265488
27,2.0699999332428,2.29999995231628,21,25,84.375,87.5,0,1,5,-0.157563030719757
27,1.36000001430511,1.78999996185303,21,22,84.375,62.5,1,0,5,-0.787815153598785
27,3,2.29999995231628,21,30,84.375,87.5,0,1,5,0.892857134342194
28,1.96000003814697,2.48000001907349,20,21,87.5,100,0,1,4,-0.997899174690247
30,2.85999989509583,2.86999988555908,22,35,93.75,100,1,0,2,1.94327735900879
30,2.60999989509583,2.01999998092651,25,24,93.75,87.5,1,0,2,-0.367647051811218
30,2.71000003814697,2.66000008583069,21,23,93.75,87.5,0,1,2,-0.577731072902679
31,2.89000010490418,2.80999994277954,25,23,96.875,100,0,1,1,-0.577731072902679
26,2.85999989509583,2.33999991416931,21,28,81.25,100,0,0,6,0.472689062356949
25,2.34999990463257,2.52999997138977,27,31,78.125,50,0,1,7,1.10294115543365
24,2.64000010490418,2.08999991416931,19,21,75,100,0,1,8,-0.997899174690247
19,3.28999996185303,2.67000007629395,21,35,59.375,87.5,0,1,13,1.94327735900879
22,1.53999996185303,1.89999997615814,25,18,68.75,87.5,0,1,10,-1.62815129756928
28,3.3199999332428,2.79999995231628,21,21,87.5,100,1,0,4,-0.997899174690247
32,4,3.9300000667572,25,35,100,100,0,1,0,1.94327735900879
29,2.63000011444092,2.54999995231628,26,25,90.625,100,0,1,3,-0.157563030719757
19,2.38000011444092,2.17000007629395,21,22,59.375,75,1,0,13,-0.787815153598785
20,1.29999995231628,1.58000004291534,18,21,62.5,62.5,0,1,12,-0.997899174690247
29,2.75999999046326,2.11999988555908,20,29,90.625,100,1,0,3,0.682773113250732
26,2.32999992370605,2.20000004768372,14,20,81.25,75,0,0,6,-1.20798313617706
26,2.64000010490418,2.01999998092651,27,29,81.25,12.5,1,0,6,0.682773113250732
23,2.30999994277954,3.45000004768372,23,25,71.875,62.5,0,1,9,-0.157563030719757
27,2.23000001907349,1.96000003814697,20,20,84.375,62.5,0,1,5,-1.20798313617706
31,2.30999994277954,2.77999997138977,23,24,96.875,100,0,1,1,-0.367647051811218
31,3.88000011444092,3.58999991416931,27,35,96.875,87.5,0,0,1,1.94327735900879
29,2.38000011444092,2,15,19,90.625,100,1,0,3,-1.41806721687317
31,3.22000002861023,3.58999991416931,27,25,96.875,100,0,1,1,-0.157563030719757
24,2.25999999046326,2.03999996185303,25,28,75,100,0,0,8,0.472689062356949
25,0.75,2.11999988555908,20,22,78.125,62.5,0,1,7,-0.787815153598785
30,2.84999990463257,3.34999990463257,20,28,93.75,75,0,1,2,0.472689062356949
32,1.64999997615814,2.41000008583069,19,25,100,62.5,1,0,0,-0.157563030719757
30,2.92000007629395,2.55999994277954,16,20,93.75,100,0,1,2,-1.20798313617706
23,2.5,2.35999989509583,20,26,71.875,75,0,1,9,0.0525210089981556
24,2.14000010490417,2.58999991416931,25,25,75,62.5,0,1,8,-0.157563030719757
32,3.22000002861023,3.17000007629395,25,28,100,75,0,1,0,0.472689062356949
20,2.39000010490418,2.60999989509583,19,23,62.5,75,0,1,12,-0.577731072902679
26,3.15000009536743,2.95000004768372,18,27,81.25,100,0,1,6,0.262605041265488
27,1.75,2.20000004768372,20,26,84.375,87.5,0,1,5,0.0525210089981556
24,1.75,2.51999998092651,28,25,75,75,0,0,8,-0.157563030719757
30,2.80999994277954,2.54999995231628,22,25,93.75,100,0,1,2,-0.157563030719757
31,3.04999995231628,2.90000009536743,25,27,96.875,100,0,1,1,0.262605041265488
23,2.26999998092651,2.52999997138977,26,21,71.875,75,0,1,9,-0.997899174690247
25,2.92000007629395,2.26999998092651,19,28,78.125,100,0,1,7,0.472689062356949
29,2.5,2.71000003814697,23,26,90.625,87.5,0,1,3,0.0525210089981556
28,3.71000003814697,2,26,34,87.5,100,1,0,4,1.73319327831268
20,1.5,2.28999996185303,21,21,62.5,37.5,0,0,12,-0.997899174690247
31,2.10999989509583,1.96000003814697,24,22,96.875,100,0,1,1,-0.787815153598785
31,3.27999997138977,2.46000003814697,18,34,96.875,100,0,0,1,1.73319327831268
23,1.60000002384186,2.1800000667572,20,27,71.875,100,0,1,9,0.262605041265488
25,3.32999992370605,3.04999995231628,23,30,78.125,100,0,1,7,0.892857134342194
28,2.03999996185303,2.47000002861023,22,23,87.5,100,1,0,4,-0.577731072902679
29,2.85999989509583,2.75999999046326,25,27,90.625,100,0,1,3,0.262605041265488
17,0.820999979972839,1.75,17,22,53.125,12.5,1,0,15,-0.787815153598785
28,2.46000003814697,2.74000000953674,21,30,87.5,87.5,0,1,4,0.892857134342194
32,4,3.0699999332428,19,35,100,100,0,1,0,1.94327735900879
20,1.36000001430511,1.9099999666214,22,21,62.5,75,0,0,12,-0.997899174690247
2,0,2.25,25,20,6.25,37.5,0,1,30,-1.20798313617706
21,1.83000004291534,2.02999997138977,17,22,65.625,50,0,0,11,-0.787815153598785
28,3.75,3.05999994277954,30,33,87.5,100,0,0,4,1.52310919761658
26,1.64999997615814,2.25999999046326,17,30,81.25,75,1,0,6,0.892857134342194
24,3,3.19000005722046,28,20,75,100,0,1,8,-1.20798313617706
31,2.67000007629395,2.5699999332428,20,20,96.875,100,0,1,1,-1.20798313617706
29,2.86999988555908,2.74000000953674,17,30,90.625,100,0,0,3,0.892857134342194
